condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+25% Stronger (1.25x),1.25,12,809,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.05,27.0,0.8658,0.0
+25% Stronger (1.25x),1.25,13,828,player_0,Champion PPO 1,0.0,0.0,0.0,36.05,51.0,1.2778,1.0
+25% Stronger (1.25x),1.25,13,828,player_1,Guided Diffusion 1,0.0,0.0,0.0,23.58,24.0,0.6628,0.0
+25% Stronger (1.25x),1.25,13,828,player_2,Champion PPO 2,1.0,0.0,1.0,49.47,43.0,1.2427,1.0
+25% Stronger (1.25x),1.25,13,828,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.83,22.0,0.71,0.0
+25% Stronger (1.25x),1.25,13,828,player_4,Champion PPO 3,0.0,1.0,0.0,24.58,26.0,1.1407,0.0
+25% Stronger (1.25x),1.25,13,828,player_5,Guided Diffusion 3,0.0,0.0,0.0,23.65,25.0,0.7019,0.0
+25% Stronger (1.25x),1.25,14,847,player_0,Champion PPO 1,0.0,0.0,0.0,18.37,7.0,1.6271,0.0
+25% Stronger (1.25x),1.25,14,847,player_1,Guided Diffusion 1,0.0,0.0,0.0,23.08,20.0,0.6723,0.0
+25% Stronger (1.25x),1.25,14,847,player_2,Champion PPO 2,0.0,0.0,0.0,19.74,15.0,1.5571,0.0
+25% Stronger (1.25x),1.25,14,847,player_3,Guided Diffusion 2,0.0,0.0,0.0,18.97,12.0,0.6143,0.0
+25% Stronger (1.25x),1.25,14,847,player_4,Champion PPO 3,0.0,0.0,0.0,35.4,50.0,1.1881,0.0
+25% Stronger (1.25x),1.25,14,847,player_5,Guided Diffusion 3,0.0,0.0,0.0,28.36,36.0,0.6097,0.0
+25% Stronger (1.25x),1.25,15,866,player_0,Champion PPO 1,1.0,0.0,1.0,47.05,48.0,1.6253,1.0
+25% Stronger (1.25x),1.25,15,866,player_1,Guided Diffusion 1,0.0,0.0,0.0,27.12,32.0,0.6555,0.0
+25% Stronger (1.25x),1.25,15,866,player_2,Champion PPO 2,0.0,0.0,0.0,27.01,31.0,1.3791,0.0
+25% Stronger (1.25x),1.25,15,866,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.14,21.0,0.5873,0.0
+25% Stronger (1.25x),1.25,15,866,player_4,Champion PPO 3,0.0,1.0,0.0,20.36,23.0,1.2933,0.0
+25% Stronger (1.25x),1.25,15,866,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.2,29.0,0.6418,0.0
+30% Stronger (1.30x),1.3,1,600,player_0,Champion PPO 1,0.0,0.0,0.0,27.19,33.0,1.1521,0.0
+30% Stronger (1.30x),1.3,1,600,player_1,Guided Diffusion 1,1.0,0.0,1.0,42.12,33.0,0.5502,1.0
+30% Stronger (1.30x),1.3,1,600,player_2,Champion PPO 2,1.0,0.0,1.0,37.91,29.0,1.4031,1.0
+30% Stronger (1.30x),1.3,1,600,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.31,23.0,0.6026,0.0
+30% Stronger (1.30x),1.3,1,600,player_4,Champion PPO 3,0.0,2.0,0.0,20.45,18.0,1.3969,0.0
+30% Stronger (1.30x),1.3,1,600,player_5,Guided Diffusion 3,0.0,0.0,0.0,39.09,56.0,0.6042,0.0
+30% Stronger (1.30x),1.3,2,619,player_0,Champion PPO 1,1.0,0.0,1.0,41.87,37.0,1.4109,1.0
+30% Stronger (1.30x),1.3,2,619,player_1,Guided Diffusion 1,0.0,3.0,0.0,18.07,18.0,0.5327,0.0
+30% Stronger (1.30x),1.3,2,619,player_2,Champion PPO 2,1.0,0.0,1.0,50.07,45.0,1.2876,1.0
+30% Stronger (1.30x),1.3,2,619,player_3,Guided Diffusion 2,1.0,0.0,1.0,44.26,44.0,0.5683,0.0
+30% Stronger (1.30x),1.3,2,619,player_4,Champion PPO 3,1.0,0.0,1.0,48.09,57.0,1.2672,1.0
+30% Stronger (1.30x),1.3,2,619,player_5,Guided Diffusion 3,0.0,0.0,0.0,29.89,35.0,0.5845,0.0
+30% Stronger (1.30x),1.3,3,638,player_0,Champion PPO 1,0.0,0.0,0.0,34.92,49.0,1.5045,0.0
+30% Stronger (1.30x),1.3,3,638,player_1,Guided Diffusion 1,0.0,0.0,0.0,26.15,29.0,0.6389,0.0
+30% Stronger (1.30x),1.3,3,638,player_2,Champion PPO 2,0.0,0.0,0.0,18.44,7.0,1.6009,0.0
+30% Stronger (1.30x),1.3,3,638,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.13,22.0,0.5364,0.0
+30% Stronger (1.30x),1.3,3,638,player_4,Champion PPO 3,0.0,0.0,0.0,23.66,24.0,1.2974,0.0
+30% Stronger (1.30x),1.3,3,638,player_5,Guided Diffusion 3,0.0,0.0,0.0,33.88,46.0,0.5238,0.0
+30% Stronger (1.30x),1.3,4,657,player_0,Champion PPO 1,0.0,1.0,0.0,19.05,17.0,1.2158,0.0
+30% Stronger (1.30x),1.3,4,657,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.45,17.0,0.5753,0.0
+30% Stronger (1.30x),1.3,4,657,player_2,Champion PPO 2,1.0,0.0,1.0,59.74,76.0,1.3047,2.0
+30% Stronger (1.30x),1.3,4,657,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.38,20.0,0.6548,0.0
+30% Stronger (1.30x),1.3,4,657,player_4,Champion PPO 3,0.0,0.0,0.0,25.28,27.0,1.5422,0.0
+30% Stronger (1.30x),1.3,4,657,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.6,14.0,0.622,0.0
+30% Stronger (1.30x),1.3,5,676,player_0,Champion PPO 1,0.0,0.0,0.0,24.14,22.0,1.3389,0.0
+30% Stronger (1.30x),1.3,5,676,player_1,Guided Diffusion 1,0.0,0.0,0.0,22.17,20.0,0.5719,0.0
+30% Stronger (1.30x),1.3,5,676,player_2,Champion PPO 2,0.0,0.0,0.0,23.18,22.0,1.561,0.0
+30% Stronger (1.30x),1.3,5,676,player_3,Guided Diffusion 2,0.0,0.0,0.0,20.44,15.0,0.5381,0.0
+30% Stronger (1.30x),1.3,5,676,player_4,Champion PPO 3,0.0,0.0,0.0,22.3,21.0,1.4751,0.0
+30% Stronger (1.30x),1.3,5,676,player_5,Guided Diffusion 3,0.0,0.0,0.0,18.7,9.0,0.6656,0.0
+30% Stronger (1.30x),1.3,6,695,player_0,Champion PPO 1,1.0,0.0,1.0,45.85,44.0,1.1819,1.0
+30% Stronger (1.30x),1.3,6,695,player_1,Guided Diffusion 1,0.0,1.0,0.0,24.45,30.0,0.5599,0.0
+30% Stronger (1.30x),1.3,6,695,player_2,Champion PPO 2,1.0,0.0,1.0,39.15,34.0,1.3513,1.0
+30% Stronger (1.30x),1.3,6,695,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.76,24.0,0.7029,0.0
